Step,Chest Train Loss,Chest Val Loss,Chest Rouge-1,Chest Rouge-2,Chest Rouge-L,Chest Rouge-Lsum,Chest=>Pelvis Train Loss,Chest=>Pelvis Val Loss,Chest=>Pelvis Rouge-1,Chest=>Pelvis Rouge-2,Chest=>Pelvis Rouge-L,Chest=>Pelvis Rouge-Lsum,Pelvis Train Loss,Pelvis Val Loss,Pelvis Rouge-1,Pelvis Rouge-2,Pelvis Rouge-L,Pelvis Rouge-Lsum,Chest=>Pelvis=>MRI Train Loss,Chest=>Pelvis=>MRI Val Loss,Chest=>Pelvis=>MRI Rouge-1,Chest=>Pelvis=>MRI Rouge-2,Chest=>Pelvis=>MRI Rouge-L,Chest=>Pelvis=>MRI Rouge-Lsum,MRI Train Loss,MRI Val Loss,MRI Rouge-1,MRI Rouge-2,MRI Rouge-L,MRI Rouge-Lsum,Chest=>Pelvis=>MRI=>PetCT Train Loss,Chest=>Pelvis=>MRI=>PetCT Val Loss,Chest=>Pelvis=>MRI=>PetCT Rouge-1,Chest=>Pelvis=>MRI=>PetCT Rouge-2,Chest=>Pelvis=>MRI=>PetCT Rouge-L,Chest=>Pelvis=>MRI=>PetCT Rouge-Lsum,PetCT Train Loss,PetCT Val Loss,PetCT Rouge-1,PetCT Rouge-2,PetCT Rouge-L,PetCT Rouge-Lsum
500,0.9353,1.111371,58.0309,33.4824,55.6483,57.1714,0.768,0.904256,61.7605,38.2024,60.2473,61.1296,0.9234,1.133452,43.9398,24.4228,41.9782,43.2436,0.7633,1.082961,53.814,35.2549,51.9973,52.9898,0.8,1.133235,48.4508,31.2208,46.5647,47.7269,0.7048,1.068572,54.6002,36.7903,52.5661,54.0286,0.7601,1.180637,49.3299,32.1885,47.199,48.7995
1000,0.8599,1.013307,59.7372,36.0709,57.5479,58.9631,0.7544,0.883162,61.0657,37.8529,59.5282,60.3963,0.8653,1.040611,39.4398,22.3716,37.5904,38.803,0.7284,1.016846,59.8482,40.7458,57.9428,59.0514,0.7432,1.048339,45.9695,30.4587,44.2294,45.3332,0.6463,0.970147,61.0956,43.2354,59.1993,60.5234,0.6788,1.046858,57.1921,39.6678,54.9941,56.6227
1500,0.8182,0.954402,61.3904,37.6021,59.2857,60.6262,0.7419,0.867085,62.7194,39.0788,61.1675,62.078,0.8298,0.98842,43.1136,25.2981,41.3831,42.473,0.5918,0.992196,50.7789,33.8786,49.0611,50.0074,0.6067,1.021128,46.7994,30.9908,45.2356,46.1334,0.688,0.93505,61.9078,44.2311,60.0517,61.3127,0.7172,0.979087,54.0776,37.6273,52.1508,53.5355
2000,0.8215,0.919627,63.3375,39.6388,61.2398,62.5341,0.7347,0.855368,62.0287,39.1211,60.5201,61.39,0.8063,0.949062,36.0446,21.4853,34.5272,35.4779,0.6542,0.964909,53.659,36.2983,51.9257,52.8742,0.6629,0.98267,44.9978,30.0484,43.261,44.4009,0.6695,0.913691,62.661,45.0197,60.9321,62.0948,0.6934,0.950455,55.7554,39.3316,54.0017,55.237
2500,0.8145,0.89127,64.0162,40.1934,62.033,63.2521,0.7283,0.84436,63.5333,40.0164,62.0035,62.8908,0.7857,0.923526,41.2852,24.7536,39.7487,40.6186,0.6097,0.954638,60.094,40.9061,58.1663,59.3057,0.6188,0.970001,51.8496,34.7682,50.0535,51.1738,0.5998,0.895533,65.6122,47.8229,63.7969,65.0449,0.6171,0.938071,58.6611,41.9477,56.8912,58.1586
3000,0.7625,0.877381,64.9675,41.3586,62.9673,64.2121,0.6875,0.839866,63.1071,39.9116,61.5849,62.451,0.7442,0.908175,47.3748,28.6378,45.8037,46.7808,0.6122,0.941081,54.213,36.9927,52.4538,53.4635,0.6228,0.951037,51.1397,34.801,49.4921,50.4607,0.5854,0.881433,64.024,46.7169,62.2577,63.4775,0.6107,0.910621,51.6378,36.6316,49.9514,51.1991
3500,0.7162,0.860353,65.2394,41.7338,63.2758,64.5007,0.6733,0.832927,63.5869,40.0771,62.0653,62.9677,0.7229,0.893561,52.6495,32.1518,51.0486,51.9533,0.5374,0.937288,52.696,36.1441,50.9839,51.9538,0.5487,0.943926,46.983,32.0427,45.4015,46.3763,0.5435,0.872924,64.5903,47.2188,62.7737,63.9851,0.5609,0.899104,59.7523,42.934,57.7946,59.195
4000,0.7202,0.850163,65.5223,42.1809,63.5313,64.7438,0.6663,0.826216,63.6504,40.5786,62.1763,63.014,0.7176,0.879044,48.9167,30.2518,47.3383,48.2867,0.643,0.923243,52.3415,35.8363,50.6323,51.6342,0.6546,0.928613,46.931,31.8935,45.2468,46.2444,0.5459,0.864847,64.9584,47.6238,63.1806,64.3942,0.5639,0.888342,57.7451,41.8663,56.0272,57.2401
4500,0.7823,0.834662,65.4762,42.0778,63.5362,64.7589,0.6402,0.820101,63.7038,40.6943,62.1963,63.0904,0.6812,0.86753,38.2729,23.3826,36.7799,37.6972,0.58,0.917363,58.5396,40.8216,56.7261,57.768,0.5935,0.917679,50.531,35.0342,48.8755,49.8993,0.5083,0.855574,65.401,48.2147,63.7025,64.8684,0.5218,0.874508,57.2351,41.1784,55.4749,56.7465
5000,0.6896,0.82564,65.226,42.1165,63.3282,64.5288,0.6481,0.815409,63.3548,40.4289,61.8957,62.7289,0.6801,0.859519,43.8414,27.3323,42.3764,43.2725,0.5606,0.912889,58.609,40.9842,56.9164,57.8846,0.5707,0.911506,48.3137,33.4042,46.7653,47.7047,0.5346,0.850628,66.4517,48.7827,64.6931,65.8838,0.5479,0.865831,59.3463,42.8528,57.5399,58.8296
